,repetition,step size,batch size,type,algorithm,loss
282,0,2.212216377258301,8,Logistic regression,proximal point,0.020301755923987367
283,0,2.212216377258301,8,Logistic regression,gradient,0.02156022946054734
284,0,2.212216377258301,16,Logistic regression,proximal point,0.010892913303151727
285,0,2.212216377258301,16,Logistic regression,gradient,0.00880628759812098
286,0,2.212216377258301,32,Logistic regression,proximal point,0.00595893185660243
287,0,2.212216377258301,32,Logistic regression,gradient,0.00452183923907578
288,0,3.0391952991485596,8,Logistic regression,proximal point,0.01877212786169257
289,0,3.0391952991485596,8,Logistic regression,gradient,0.03310231892847401
290,0,3.0391952991485596,16,Logistic regression,proximal point,0.010059064147621394
291,0,3.0391952991485596,16,Logistic regression,gradient,0.011375658340610972
292,0,3.0391952991485596,32,Logistic regression,proximal point,0.005518161931633949
293,0,3.0391952991485596,32,Logistic regression,gradient,0.004516919774375856
294,0,4.175318717956543,8,Logistic regression,proximal point,0.01788808667663543
295,0,4.175318717956543,8,Logistic regression,gradient,0.058870130806352984
296,0,4.175318717956543,16,Logistic regression,proximal point,0.009486435842514037
297,0,4.175318717956543,16,Logistic regression,gradient,0.016898506985332906
298,0,4.175318717956543,32,Logistic regression,proximal point,0.005152126024290919
299,0,4.175318717956543,32,Logistic regression,gradient,0.006502060980838723
300,0,5.736152648925781,8,Logistic regression,proximal point,0.017016007698629983
301,0,5.736152648925781,8,Logistic regression,gradient,0.11044053142495995
302,0,5.736152648925781,16,Logistic regression,proximal point,0.008885839513782412
303,0,5.736152648925781,16,Logistic regression,gradient,0.03710688681931581
304,0,5.736152648925781,32,Logistic regression,proximal point,0.0047733596377074715
305,0,5.736152648925781,32,Logistic regression,gradient,0.011264112357079284
306,0,7.880462646484375,8,Logistic regression,proximal point,0.016527460789494942
307,0,7.880462646484375,8,Logistic regression,gradient,0.2190337897520068
308,0,7.880462646484375,16,Logistic regression,proximal point,0.008595681890938432
309,0,7.880462646484375,16,Logistic regression,gradient,0.059796113984921115
310,0,7.880462646484375,32,Logistic regression,proximal point,0.00455441074334085
311,0,7.880462646484375,32,Logistic regression,gradient,0.021740317020677042
312,0,10.826367378234863,8,Logistic regression,proximal point,0.01605314557632664
313,0,10.826367378234863,8,Logistic regression,gradient,0.4407035796625144
314,0,10.826367378234863,16,Logistic regression,proximal point,0.008168458633637056
315,0,10.826367378234863,16,Logistic regression,gradient,0.13449037183668253
316,0,10.826367378234863,32,Logistic regression,proximal point,0.004283144447393715
317,0,10.826367378234863,32,Logistic regression,gradient,0.04041429039746228
318,0,14.873520851135254,8,Logistic regression,proximal point,0.0158706266049423
319,0,14.873520851135254,8,Logistic regression,gradient,0.7623694981857564
320,0,14.873520851135254,16,Logistic regression,proximal point,0.008113953954726458
321,0,14.873520851135254,16,Logistic regression,gradient,0.21940070154051228
322,0,14.873520851135254,32,Logistic regression,proximal point,0.004193667572923005
323,0,14.873520851135254,32,Logistic regression,gradient,0.07381441848961709
324,0,20.433597564697266,8,Logistic regression,proximal point,0.01571343405791922
325,0,20.433597564697266,8,Logistic regression,gradient,1.5977605853557055
326,0,20.433597564697266,16,Logistic regression,proximal point,0.007815095381904393
327,0,20.433597564697266,16,Logistic regression,gradient,0.48122473236153757
328,0,20.433597564697266,32,Logistic regression,proximal point,0.003999397165887058
329,0,20.433597564697266,32,Logistic regression,gradient,0.15011741666901196
330,0,28.072162628173828,8,Logistic regression,proximal point,0.01575522857930764
331,0,28.072162628173828,8,Logistic regression,gradient,2.7488019282983145
332,0,28.072162628173828,16,Logistic regression,proximal point,0.007952151676896028
333,0,28.072162628173828,16,Logistic regression,gradient,0.7874251592729776
334,0,28.072162628173828,32,Logistic regression,proximal point,0.004025501387286932
335,0,28.072162628173828,32,Logistic regression,gradient,0.2673619966947892
336,0,38.56620407104492,8,Logistic regression,proximal point,0.015848435501049335
337,0,38.56620407104492,8,Logistic regression,gradient,5.60792113131834
338,0,38.56620407104492,16,Logistic regression,proximal point,0.007741873532783938
339,0,38.56620407104492,16,Logistic regression,gradient,1.7564981359116187
340,0,38.56620407104492,32,Logistic regression,proximal point,0.0038766379884444175
341,0,38.56620407104492,32,Logistic regression,gradient,0.5263398788196362
342,0,52.98316955566406,8,Logistic regression,proximal point,0.016044401812173294
343,0,52.98316955566406,8,Logistic regression,gradient,9.764360607827978
344,0,52.98316955566406,16,Logistic regression,proximal point,0.008032738943316508
345,0,52.98316955566406,16,Logistic regression,gradient,2.8491011594580655
346,0,52.98316955566406,32,Logistic regression,proximal point,0.004006330382544547
347,0,52.98316955566406,32,Logistic regression,gradient,0.9694914827571691
348,0,72.78953552246094,8,Logistic regression,proximal point,0.016340189256401617
349,0,72.78953552246094,8,Logistic regression,gradient,20.195420176444877
350,0,72.78953552246094,16,Logistic regression,proximal point,0.007878265202889452
351,0,72.78953552246094,16,Logistic regression,gradient,6.229195662660338
352,0,72.78953552246094,32,Logistic regression,proximal point,0.003875434084329754
353,0,72.78953552246094,32,Logistic regression,gradient,1.9112525251666084
354,0,100.0,8,Logistic regression,proximal point,0.01663433967998625
355,0,100.0,8,Logistic regression,gradient,35.264067999155806
356,0,100.0,16,Logistic regression,proximal point,0.008294437532569282
357,0,100.0,16,Logistic regression,gradient,10.135303135923948
358,0,100.0,32,Logistic regression,proximal point,0.004098095083865337
359,0,100.0,32,Logistic regression,gradient,3.455952523572743
360,1,0.009999999776482582,8,Least squares,proximal point,23.23160970258713
361,1,0.009999999776482582,8,Least squares,gradient,53.63286100654602
362,1,0.009999999776482582,16,Least squares,proximal point,14.889275778961181
363,1,0.009999999776482582,16,Least squares,gradient,26.891675034332277
364,1,0.009999999776482582,32,Least squares,proximal point,8.8044117477417
365,1,0.009999999776482582,32,Least squares,gradient,13.49195221862793
366,1,0.013738238252699375,8,Least squares,proximal point,17.843976064586638
367,1,0.013738238252699375,8,Least squares,gradient,53.20469364013672
368,1,0.013738238252699375,16,Least squares,proximal point,11.772288898086547
369,1,0.013738238252699375,16,Least squares,gradient,26.741275876617433
370,1,0.013738238252699375,32,Least squares,proximal point,7.582123342895508
371,1,0.013738238252699375,32,Least squares,gradient,13.46215765838623
372,1,0.018873918801546097,8,Least squares,proximal point,12.582730991744995
373,1,0.018873918801546097,8,Least squares,gradient,52.3811266368866
374,1,0.018873918801546097,16,Least squares,proximal point,9.354803137397766
375,1,0.018873918801546097,16,Least squares,gradient,26.4524633934021
376,1,0.018873918801546097,32,Least squares,proximal point,6.214084854125977
377,1,0.018873918801546097,32,Least squares,gradient,13.334885447692871
378,1,0.025929437950253487,8,Least squares,proximal point,8.539375731444359
379,1,0.025929437950253487,8,Least squares,gradient,50.91361121253967
380,1,0.025929437950253487,16,Least squares,proximal point,6.420265336370468
381,1,0.025929437950253487,16,Least squares,gradient,25.931171155548096
382,1,0.025929437950253487,32,Least squares,proximal point,4.826297452545166
383,1,0.025929437950253487,32,Least squares,gradient,13.180002102661133
384,1,0.035622477531433105,8,Least squares,proximal point,5.554194618165493
385,1,0.035622477531433105,8,Least squares,gradient,48.31579030914307
386,1,0.035622477531433105,16,Least squares,proximal point,4.3640802829742436
387,1,0.035622477531433105,16,Least squares,gradient,24.952444236755372
388,1,0.035622477531433105,32,Least squares,proximal point,3.552904957771301
389,1,0.035622477531433105,32,Least squares,gradient,12.832258599853516
390,1,0.04893900826573372,8,Least squares,proximal point,3.5304133424788713
391,1,0.04893900826573372,8,Least squares,gradient,43.67863224506378
392,1,0.04893900826573372,16,Least squares,proximal point,3.2065028769493105
393,1,0.04893900826573372,16,Least squares,gradient,23.14096379547119
394,1,0.04893900826573372,32,Least squares,proximal point,2.538042049884796
395,1,0.04893900826573372,32,Least squares,gradient,12.17329900970459
396,1,0.06723357737064362,8,Least squares,proximal point,2.323299001427367
397,1,0.06723357737064362,8,Least squares,gradient,36.45218979148865
398,1,0.06723357737064362,16,Least squares,proximal point,1.7700657037079335
