,experiment,dim,num_of_samples,prox_pt_time,sgd_time,sgd_batch_size
942,17,3000,1000,5.002751934000003,0.646440202000008,1
943,17,3000,1000,4.989887524999972,0.05403146099990863,16
944,17,3000,1000,4.888541121000003,0.04170712099994489,32
945,17,3000,2000,10.354368786999999,1.332725881999977,1
946,17,3000,2000,10.233571689999962,0.1082289610000089,16
947,17,3000,2000,10.284983368999974,0.07931833500003904,32
948,17,3000,2500,12.88554494999994,1.4900160020000612,1
949,17,3000,2500,12.962514060999979,0.1400378799999089,16
950,17,3000,2500,12.89394438599993,0.08672456499994041,32
951,17,3000,3000,14.807907955000019,1.3316474230000495,1
952,17,3000,3000,14.698182091000035,0.12538368100001662,16
953,17,3000,3000,14.737878740999918,0.07368654699996569,32
954,17,6000,500,2.7597451950000504,0.3871069360000092,1
955,17,6000,500,2.8157356709999704,0.03653204700003698,16
956,17,6000,500,2.805915228999993,0.029011778000040067,32
957,17,6000,1000,5.489957601000015,0.6568052769999895,1
958,17,6000,1000,5.267520378999961,0.05817612399994232,16
959,17,6000,1000,5.211255089999895,0.039345327999967594,32
960,17,6000,1000,5.2192719370000304,0.649032815000055,1
961,17,6000,1000,5.241388829000016,0.05638963599994895,16
962,17,6000,1000,5.21616785599997,0.03776042900005905,32
963,17,6000,2000,9.141281587000094,0.8123045340000772,1
964,17,6000,2000,8.267601597000066,0.06574359499995808,16
965,17,6000,2000,7.928166476999991,0.04650588900005914,32
966,17,6000,2500,8.959643540000002,0.7927697199999102,1
967,17,6000,2500,8.779171028000064,0.07486862299992936,16
968,17,6000,2500,8.678476907999993,0.046809385000074144,32
969,17,6000,3000,9.787573096000074,0.9115174989999559,1
970,17,6000,3000,9.327874060999989,0.08660039900007632,16
971,17,6000,3000,8.82173066200005,0.056972442999949635,32
972,18,1000,500,1.9605773690000206,0.2623072430000093,1
973,18,1000,500,1.9744796649999898,0.022271823999972185,16
974,18,1000,500,2.0031671250000045,0.012863650999975107,32
975,18,1000,1000,3.9574654150000015,0.5497859089999793,1
976,18,1000,1000,3.9562096560000555,0.05040519200008475,16
977,18,1000,1000,3.9706506310000123,0.03141191100007745,32
978,18,1000,1000,3.9536975729999995,0.5422094340000285,1
979,18,1000,1000,3.961922480999988,0.045429613999999674,16
980,18,1000,1000,3.9892764859999943,0.037524426000004496,32
981,18,1000,2000,7.970650575000036,1.2765328570000065,1
